Dep,Nom,Population 2010,Surface en km²,Longitude,Latitude
1,Ozan,618,6.6,4.91667,46.3833
1,Cormoranche-sur-Saône,1058,9.85,4.83333,46.2333
1,Plagne,129,6.2,5.73333,46.1833
1,Tossiat,1406,10.17,5.31667,46.1333
1,Pouillat,88,6.23,5.43333,46.3333
1,Torcieu,698,10.72,5.4,45.9167
1,Replonges,3500,16.6,4.88333,46.3
1,Corcelles,243,14.16,5.58333,46.0333
1,Péron,2143,26.01,5.93333,46.2
1,Relevant,466,12.38,4.95,46.0833
1,Chaveyriat,927,16.87,5.06667,46.1833
1,Vaux-en-Bugey,1169,8.22,5.35,45.9167
1,Maillat,668,11.31,5.55,46.1333
1,Faramans,681,11.22,5.11667,45.9
1,Béon,373,10.3,5.75,45.8333
1,Saint-Bernard,1375,3.15,4.73723,45.945
1,Rossillon,148,8.07,5.6,45.8333
1,Pont-d'Ain,2627,11.22,5.33333,46.05
1,Nantua,3713,12.79,5.61667,46.15
1,Chavannes-sur-Reyssouze,680,16.55,5,46.4333
1,Neuville-les-Dames,1504,26.59,5,46.1667
1,Flaxieu,63,2.79,5.73333,45.8167
1,Hotonnes,306,28.4,5.68333,46
1,Saint-Sorlin-en-Bugey,1061,9.07,5.36667,45.8833
1,Songieu,130,20.58,5.7,45.9667
1,Virieu-le-Petit,309,16.36,5.71667,45.9
1,Saint-Denis-en-Bugey,2178,2.61,5.33333,45.95
1,Charnoz-sur-Ain,911,6.62,5.21667,45.8667
1,Chazey-sur-Ain,1464,21.95,5.25,45.9
1,Marchamp,118,13.11,5.55,45.7833
1,Culoz,2909,19.36,5.78333,45.85
1,Mantenay-Montlin,288,10.8,5.08333,46.4167
1,Marboz,2182,40.14,5.25,46.3333
1,Foissiat,1912,40.36,5.18333,46.3667
1,Treffort-Cuisiat,2204,39.41,5.36834,46.2714
1,Izieu,201,7.67,5.63333,45.65
1,Saint-Étienne-du-Bois,2441,28.38,5.28333,46.2833
1,Hauteville-Lompnes,4044,50.34,5.6,45.9667
1,Saint-Trivier-sur-Moignans,1877,41.99,4.9,46.0667
1,Peyriat,171,5.96,5.51667,46.15
1,Évosges,140,12.08,5.5,45.9583
1,Poncin,1644,19.77,5.4,46.0833
1,Crans,269,13.23,5.21667,45.9667
1,Montréal-la-Cluse,3457,12.83,5.57084,46.1867
1,Cleyzieu,135,7.82,5.43333,45.9
1,Lompnieu,122,11.35,5.65,45.9667
1,Villereversure,1208,17.45,5.38333,46.1833
1,Saint-Martin-du-Mont,1651,28.09,5.33333,46.1
1,Saint-Genis-Pouilly,8914,9.77,6.01667,46.25
1,Bolozon,94,4.92,5.48333,46.2
1,Confrançon,1157,18.17,5.06667,46.2667
1,Lochieu,91,7.07,5.71667,45.9333
1,Chanoz-Châtenay,706,13.42,5.03333,46.1833
1,Villebois,1153,14.46,5.43333,45.85
1,Ceignes,265,10.01,5.5,46.1167
1,Saint-Didier-sur-Chalaronne,2776,24.98,4.81667,46.1667
1,Revonnas,788,7.75,5.33333,46.1667
1,Bourg-Saint-Christophe,1173,8.98,5.16667,45.8833
1,Condeissiat,756,21.64,5.08333,46.1667
1,Pirajoux,360,12.99,5.3,46.3833
1,Chalamont,2322,32.88,5.16667,46
1,Le Plantay,540,19.96,5.08333,46.0167
1,Versailleux,332,18.77,5.1,45.9833
